date_key,full_date,year,quarter,month,month_name
20211016,2021-10-16,2021,4,10,October
20200619,2020-06-19,2020,2,6,June
20200304,2020-03-04,2020,1,3,March
20210720,2021-07-20,2021,3,7,July
20210204,2021-02-04,2021,1,2,February
20201227,2020-12-27,2020,4,12,December
20210926,2021-09-26,2021,3,9,September
20201017,2020-10-17,2020,4,10,October
20210227,2021-02-27,2021,1,2,February
20210217,2021-02-17,2021,1,2,February
20200815,2020-08-15,2020,3,8,August
20200618,2020-06-18,2020,2,6,June
20201107,2020-11-07,2020,4,11,November
20211105,2021-11-05,2021,4,11,November
20210817,2021-08-17,2021,3,8,August
20200608,2020-06-08,2020,2,6,June
20210131,2021-01-31,2021,1,1,January
20211122,2021-11-22,2021,4,11,November
20210929,2021-09-29,2021,3,9,September
20200125,2020-01-25,2020,1,1,January
20200126,2020-01-26,2020,1,1,January
20210921,2021-09-21,2021,3,9,September
20200223,2020-02-23,2020,1,2,February
20200809,2020-08-09,2020,3,8,August
20200713,2020-07-13,2020,3,7,July
20210531,2021-05-31,2021,2,5,May
20201010,2020-10-10,2020,4,10,October
20210215,2021-02-15,2021,1,2,February
20211014,2021-10-14,2021,4,10,October
20210905,2021-09-05,2021,3,9,September
20200910,2020-09-10,2020,3,9,September
20200130,2020-01-30,2020,1,1,January
20210728,2021-07-28,2021,3,7,July
20210731,2021-07-31,2021,3,7,July
20200622,2020-06-22,2020,2,6,June
20210711,2021-07-11,2021,3,7,July
20211130,2021-11-30,2021,4,11,November
20211028,2021-10-28,2021,4,10,October
20201124,2020-11-24,2020,4,11,November
20210913,2021-09-13,2021,3,9,September
20200912,2020-09-12,2020,3,9,September
20201007,2020-10-07,2020,4,10,October
20201214,2020-12-14,2020,4,12,December
20210314,2021-03-14,2021,1,3,March
20201216,2020-12-16,2020,4,12,December
20210827,2021-08-27,2021,3,8,August
20210109,2021-01-09,2021,1,1,January
20200720,2020-07-20,2020,3,7,July
20200908,2020-09-08,2020,3,9,September
20210924,2021-09-24,2021,3,9,September
20210729,2021-07-29,2021,3,7,July
20201219,2020-12-19,2020,4,12,December
20210612,2021-06-12,2021,2,6,June
20210518,2021-05-18,2021,2,5,May
20200504,2020-05-04,2020,2,5,May
20211012,2021-10-12,2021,4,10,October
20201102,2020-11-02,2020,4,11,November
20210927,2021-09-27,2021,3,9,September
20200514,2020-05-14,2020,2,5,May
20210606,2021-06-06,2021,2,6,June
20210906,2021-09-06,2021,3,9,September
20201207,2020-12-07,2020,4,12,December
20210902,2021-09-02,2021,3,9,September
20201114,2020-11-14,2020,4,11,November
20200810,2020-08-10,2020,3,8,August
20210210,2021-02-10,2021,1,2,February
20200507,2020-05-07,2020,2,5,May
20200925,2020-09-25,2020,3,9,September
20200309,2020-03-09,2020,1,3,March
20210514,2021-05-14,2021,2,5,May
20210917,2021-09-17,2021,3,9,September
20210428,2021-04-28,2021,2,4,April
20200415,2020-04-15,2020,2,4,April
20200701,2020-07-01,2020,3,7,July
20201113,2020-11-13,2020,4,11,November
20200204,2020-02-04,2020,1,2,February
20200716,2020-07-16,2020,3,7,July
20200902,2020-09-02,2020,3,9,September
20210925,2021-09-25,2021,3,9,September
20200729,2020-07-29,2020,3,7,July
20200424,2020-04-24,2020,2,4,April
20200926,2020-09-26,2020,3,9,September
20210216,2021-02-16,2021,1,2,February
20210312,2021-03-12,2021,1,3,March
20211005,2021-10-05,2021,4,10,October
20200611,2020-06-11,2020,2,6,June
20210723,2021-07-23,2021,3,7,July
20211211,2021-12-11,2021,4,12,December
20200405,2020-04-05,2020,2,4,April
20200404,2020-04-04,2020,2,4,April
20210809,2021-08-09,2021,3,8,August
20200225,2020-02-25,2020,1,2,February
20211027,2021-10-27,2021,4,10,October
20200202,2020-02-02,2020,1,2,February
20210620,2021-06-20,2021,2,6,June
20210605,2021-06-05,2021,2,6,June
20200509,2020-05-09,2020,2,5,May
20211101,2021-11-01,2021,4,11,November
20210214,2021-02-14,2021,1,2,February
20200831,2020-08-31,2020,3,8,August
20200808,2020-08-08,2020,3,8,August
20210226,2021-02-26,2021,1,2,February
20211003,2021-10-03,2021,4,10,October
20211123,2021-11-23,2021,4,11,November
20200508,2020-05-08,2020,2,5,May
20201130,2020-11-30,2020,4,11,November
20200317,2020-03-17,2020,1,3,March
20200901,2020-09-01,2020,3,9,September
20201226,2020-12-26,2020,4,12,December
20201229,2020-12-29,2020,4,12,December
20200310,2020-03-10,2020,1,3,March
20211227,2021-12-27,2021,4,12,December
20200501,2020-05-01,2020,2,5,May
20201001,2020-10-01,2020,4,10,October
20200129,2020-01-29,2020,1,1,January
20210418,2021-04-18,2021,2,4,April
20211017,2021-10-17,2021,4,10,October
20200425,2020-04-25,2020,2,4,April
20210321,2021-03-21,2021,1,3,March
20201031,2020-10-31,2020,4,10,October
20200122,2020-01-22,2020,1,1,January
20210628,2021-06-28,2021,2,6,June
20201021,2020-10-21,2020,4,10,October
20200903,2020-09-03,2020,3,9,September
20210120,2021-01-20,2021,1,1,January
20200112,2020-01-12,2020,1,1,January
20200922,2020-09-22,2020,3,9,September
20200830,2020-08-30,2020,3,8,August
20210803,2021-08-03,2021,3,8,August
20200822,2020-08-22,2020,3,8,August
20210507,2021-05-07,2021,2,5,May
20200411,2020-04-11,2020,2,4,April
20210114,2021-01-14,2021,1,1,January
20210105,2021-01-05,2021,1,1,January
20200704,2020-07-04,2020,3,7,July
20201002,2020-10-02,2020,4,10,October
20200323,2020-03-23,2020,1,3,March
20211109,2021-11-09,2021,4,11,November
20201209,2020-12-09,2020,4,12,December
20210714,2021-07-14,2021,3,7,July
20211221,2021-12-21,2021,4,12,December
20210315,2021-03-15,2021,1,3,March
20200408,2020-04-08,2020,2,4,April
20201218,2020-12-18,2020,4,12,December
20210307,2021-03-07,2021,1,3,March
20200217,2020-02-17,2020,1,2,February
20200512,2020-05-12,2020,2,5,May
20200305,2020-03-05,2020,1,3,March
20210427,2021-04-27,2021,2,4,April
20211024,2021-10-24,2021,4,10,October
20210624,2021-06-24,2021,2,6,June
20210802,2021-08-02,2021,3,8,August
20210627,2021-06-27,2021,2,6,June
20211127,2021-11-27,2021,4,11,November
20200817,2020-08-17,2020,3,8,August
20200928,2020-09-28,2020,3,9,September
20201014,2020-10-14,2020,4,10,October
20211019,2021-10-19,2021,4,10,October
20211117,2021-11-17,2021,4,11,November
20211216,2021-12-16,2021,4,12,December
20200329,2020-03-29,2020,1,3,March
20210916,2021-09-16,2021,3,9,September
20210725,2021-07-25,2021,3,7,July
20200626,2020-06-26,2020,2,6,June
20210815,2021-08-15,2021,3,8,August
20210413,2021-04-13,2021,2,4,April
20201231,2020-12-31,2020,4,12,December
20201127,2020-11-27,2020,4,11,November
20210820,2021-08-20,2021,3,8,August
20210411,2021-04-11,2021,2,4,April
20210701,2021-07-01,2021,3,7,July
20200604,2020-06-04,2020,2,6,June
20210712,2021-07-12,2021,3,7,July
20201119,2020-11-19,2020,4,11,November
20210309,2021-03-09,2021,1,3,March
20210710,2021-07-10,2021,3,7,July
20210713,2021-07-13,2021,3,7,July
20210419,2021-04-19,2021,2,4,April
20200625,2020-06-25,2020,2,6,June
20200409,2020-04-09,2020,2,4,April
20200929,2020-09-29,2020,3,9,September
20210719,2021-07-19,2021,3,7,July
20200228,2020-02-28,2020,1,2,February
20200402,2020-04-02,2020,2,4,April
20200214,2020-02-14,2020,1,2,February
20210316,2021-03-16,2021,1,3,March
20200914,2020-09-14,2020,3,9,September
20200613,2020-06-13,2020,2,6,June
20200605,2020-06-05,2020,2,6,June
20210502,2021-05-02,2021,2,5,May
20201213,2020-12-13,2020,4,12,December
20211120,2021-11-20,2021,4,11,November
20200523,2020-05-23,2020,2,5,May
20200620,2020-06-20,2020,2,6,June
20200730,2020-07-30,2020,3,7,July
20200728,2020-07-28,2020,3,7,July
20200907,2020-09-07,2020,3,9,September
20210923,2021-09-23,2021,3,9,September
20200927,2020-09-27,2020,3,9,September
20210515,2021-05-15,2021,2,5,May
20210122,2021-01-22,2021,1,1,January
20200324,2020-03-24,2020,1,3,March
20200413,2020-04-13,2020,2,4,April
20211224,2021-12-24,2021,4,12,December
20200312,2020-03-12,2020,1,3,March
20200725,2020-07-25,2020,3,7,July
20201204,2020-12-04,2020,4,12,December
20200320,2020-03-20,2020,1,3,March
20200221,2020-02-21,2020,1,2,February
20200528,2020-05-28,2020,2,5,May
20210530,2021-05-30,2021,2,5,May
20201123,2020-11-23,2020,4,11,November
20210405,2021-04-05,2021,2,4,April
20210918,2021-09-18,2021,3,9,September
20211204,2021-12-04,2021,4,12,December
20200518,2020-05-18,2020,2,5,May
20210410,2021-04-10,2021,2,4,April
20210304,2021-03-04,2021,1,3,March
20201009,2020-10-09,2020,4,10,October
20200517,2020-05-17,2020,2,5,May
20210930,2021-09-30,2021,3,9,September
20211103,2021-11-03,2021,4,11,November
20200723,2020-07-23,2020,3,7,July
20201029,2020-10-29,2020,4,10,October
20200803,2020-08-03,2020,3,8,August
20200201,2020-02-01,2020,1,2,February
20210317,2021-03-17,2021,1,3,March
20210528,2021-05-28,2021,2,5,May
20210519,2021-05-19,2021,2,5,May
20210914,2021-09-14,2021,3,9,September
20211213,2021-12-13,2021,4,12,December
20210407,2021-04-07,2021,2,4,April
20210228,2021-02-28,2021,1,2,February
20200103,2020-01-03,2020,1,1,January
20210117,2021-01-17,2021,1,1,January
20201030,2020-10-30,2020,4,10,October
20210125,2021-01-25,2021,1,1,January
20200819,2020-08-19,2020,3,8,August
20200306,2020-03-06,2020,1,3,March
20210409,2021-04-09,2021,2,4,April
20211129,2021-11-29,2021,4,11,November
20200921,2020-09-21,2020,3,9,September
20200406,2020-04-06,2020,2,4,April
20210422,2021-04-22,2021,2,4,April
20200906,2020-09-06,2020,3,9,September
20200311,2020-03-11,2020,1,3,March
20211118,2021-11-18,2021,4,11,November
20200529,2020-05-29,2020,2,5,May
20200421,2020-04-21,2020,2,4,April
20200824,2020-08-24,2020,3,8,August
20211029,2021-10-29,2021,4,10,October
20210130,2021-01-30,2021,1,1,January
20211011,2021-10-11,2021,4,10,October
20210610,2021-06-10,2021,2,6,June
20200520,2020-05-20,2020,2,5,May
20210608,2021-06-08,2021,2,6,June
20210721,2021-07-21,2021,3,7,July
20200430,2020-04-30,2020,2,4,April
20200313,2020-03-13,2020,1,3,March
20200328,2020-03-28,2020,1,3,March
20210129,2021-01-29,2021,1,1,January
20210329,2021-03-29,2021,1,3,March
20211217,2021-12-17,2021,4,12,December
20210824,2021-08-24,2021,3,8,August
20200104,2020-01-04,2020,1,1,January
20210512,2021-05-12,2021,2,5,May
20210430,2021-04-30,2021,2,4,April
20200215,2020-02-15,2020,1,2,February
20200829,2020-08-29,2020,3,8,August
20201220,2020-12-20,2020,4,12,December
20200506,2020-05-06,2020,2,5,May
20211208,2021-12-08,2021,4,12,December
20200111,2020-01-11,2020,1,1,January
20200117,2020-01-17,2020,1,1,January
20210730,2021-07-30,2021,3,7,July
20210828,2021-08-28,2021,3,8,August
20200510,2020-05-10,2020,2,5,May
20210619,2021-06-19,2021,2,6,June
20201101,2020-11-01,2020,4,11,November
20211020,2021-10-20,2021,4,10,October
20201203,2020-12-03,2020,4,12,December
20210525,2021-05-25,2021,2,5,May
20211220,2021-12-20,2021,4,12,December
20210816,2021-08-16,2021,3,8,August
20210722,2021-07-22,2021,3,7,July
20210801,2021-08-01,2021,3,8,August
20201025,2020-10-25,2020,4,10,October
20200909,2020-09-09,2020,3,9,September
20210520,2021-05-20,2021,2,5,May
20210116,2021-01-16,2021,1,1,January
20210311,2021-03-11,2021,1,3,March
20210415,2021-04-15,2021,2,4,April
20210426,2021-04-26,2021,2,4,April
20200719,2020-07-19,2020,3,7,July
20211001,2021-10-01,2021,4,10,October
20210423,2021-04-23,2021,2,4,April
20200519,2020-05-19,2020,2,5,May
20200721,2020-07-21,2020,3,7,July
20211113,2021-11-13,2021,4,11,November
20211006,2021-10-06,2021,4,10,October
20200503,2020-05-03,2020,2,5,May
20201105,2020-11-05,2020,4,11,November
20211229,2021-12-29,2021,4,12,December
20210708,2021-07-08,2021,3,7,July
20200227,2020-02-27,2020,1,2,February
20200426,2020-04-26,2020,2,4,April
20211202,2021-12-02,2021,4,12,December
20201129,2020-11-29,2020,4,11,November
20200816,2020-08-16,2020,3,8,August
20200124,2020-01-24,2020,1,1,January
20200121,2020-01-21,2020,1,1,January
20200603,2020-06-03,2020,2,6,June
20200128,2020-01-28,2020,1,1,January
20200325,2020-03-25,2020,1,3,March
20210702,2021-07-02,2021,3,7,July
20210826,2021-08-26,2021,3,8,August
20210406,2021-04-06,2021,2,4,April
20201230,2020-12-30,2020,4,12,December
20200911,2020-09-11,2020,3,9,September
20200615,2020-06-15,2020,2,6,June
20210328,2021-03-28,2021,1,3,March
20200318,2020-03-18,2020,1,3,March
20200410,2020-04-10,2020,2,4,April
20200811,2020-08-11,2020,3,8,August
20211203,2021-12-03,2021,4,12,December
20200429,2020-04-29,2020,2,4,April
20211230,2021-12-30,2021,4,12,December
20210716,2021-07-16,2021,3,7,July
20210901,2021-09-01,2021,3,9,September
20210614,2021-06-14,2021,2,6,June
20210602,2021-06-02,2021,2,6,June
20211015,2021-10-15,2021,4,10,October
20201201,2020-12-01,2020,4,12,December
20200420,2020-04-20,2020,2,4,April
20210705,2021-07-05,2021,3,7,July
20210128,2021-01-28,2021,1,1,January
20211119,2021-11-19,2021,4,11,November
20200118,2020-01-18,2020,1,1,January
20210212,2021-02-12,2021,1,2,February
20210509,2021-05-09,2021,2,5,May
20210402,2021-04-02,2021,2,4,April
20210203,2021-02-03,2021,1,2,February
20211026,2021-10-26,2021,4,10,October
20200521,2020-05-21,2020,2,5,May
20200115,2020-01-15,2020,1,1,January
20200418,2020-04-18,2020,2,4,April
20200711,2020-07-11,2020,3,7,July
20200205,2020-02-05,2020,1,2,February
20210709,2021-07-09,2021,3,7,July
20201223,2020-12-23,2020,4,12,December
20200923,2020-09-23,2020,3,9,September
20200326,2020-03-26,2020,1,3,March
20210111,2021-01-11,2021,1,1,January
20200624,2020-06-24,2020,2,6,June
20200416,2020-04-16,2020,2,4,April
20210310,2021-03-10,2021,1,3,March
20210922,2021-09-22,2021,3,9,September
20210213,2021-02-13,2021,1,2,February
20210904,2021-09-04,2021,3,9,September
20210208,2021-02-08,2021,1,2,February
20200218,2020-02-18,2020,1,2,February
20200820,2020-08-20,2020,3,8,August
20200805,2020-08-05,2020,3,8,August
20210301,2021-03-01,2021,1,3,March
20200210,2020-02-10,2020,1,2,February
20200516,2020-05-16,2020,2,5,May
20201225,2020-12-25,2020,4,12,December
20210305,2021-03-05,2021,1,3,March
20210707,2021-07-07,2021,3,7,July
20200930,2020-09-30,2020,3,9,September
20200105,2020-01-05,2020,1,1,January
20200826,2020-08-26,2020,3,8,August
20200807,2020-08-07,2020,3,8,August
20211218,2021-12-18,2021,4,12,December
20211013,2021-10-13,2021,4,10,October
20200610,2020-06-10,2020,2,6,June
20211010,2021-10-10,2021,4,10,October
20201103,2020-11-03,2020,4,11,November
20211114,2021-11-14,2021,4,11,November
20210527,2021-05-27,2021,2,5,May
20210524,2021-05-24,2021,2,5,May
20200403,2020-04-03,2020,2,4,April
20210615,2021-06-15,2021,2,6,June
20210205,2021-02-05,2021,1,2,February
20200527,2020-05-27,2020,2,5,May
20210104,2021-01-04,2021,1,1,January
20200209,2020-02-09,2020,1,2,February
20210920,2021-09-20,2021,3,9,September
20210812,2021-08-12,2021,3,8,August
20200505,2020-05-05,2020,2,5,May
20201016,2020-10-16,2020,4,10,October
